257000	33600	5900
258000	20900	6700
259000	25100	5200
260000	20200	5500
261000	21100	5900
262000	17800	6300
263000	54600	5500
264000	20400	28100
265000	28800	5600
266000	20400	5700
267000	23700	5600
268000	62900	5700
269000	28900	6200
270000	21600	5700
271000	22700	5300
272000	22800	5700
273000	19000	6200
274000	21600	5800
275000	24400	6100
276000	20900	6400
277000	41000	8900
278000	22300	6200
279000	21000	5700
280000	19700	6100
281000	26500	5800
282000	21700	5200
283000	22000	5800
284000	20100	25900
285000	22500	6200
286000	61300	9900
287000	19200	5700
288000	20200	6400
289000	22600	5900
290000	18400	5700
291000	23100	10300
292000	22300	6400
293000	22000	6200
294000	20000	6100
295000	62400	5600
296000	20500	5600
297000	23700	6000
298000	23400	5700
299000	19600	5700
300000	28700	8700
301000	20000	5800
302000	32700	9300
303000	20600	5300
304000	21900	5500
305000	21500	20300
306000	23600	5500
307000	21200	6700
308000	20000	5700
309000	21300	5400
310000	22100	6000
311000	22700	6100
312000	21700	6500
313000	20200	5800
314000	24500	6700
315000	19600	5700
316000	47600	5500
317000	21400	5500
318000	25200	6500
319000	31100	6000
320000	27300	5700
321000	25800	32800
322000	26500	8200
323000	23700	23700
324000	22600	10600
325000	98000	6000
326000	25600	14000
327000	25300	5500
328000	22500	7000
329000	25700	4900
330000	22200	6400
331000	26700	7100
332000	24700	76400
333000	60600	6600
334000	25000	7600
335000	27900	6200
336000	22800	8100
337000	26300	5900
338000	26200	6200
339000	24100	14900
340000	31200	6500
341000	63600	32900
342000	23500	7700
343000	40800	6600
344000	55500	6800
345000	24800	10200
346000	25600	21300
347000	23900	6500
348000	25800	7100
349000	48800	7500
350000	26000	16900
351000	33300	38900
352000	25900	6000
353000	27100	5500
354000	26800	11100
355000	27800	5500
356000	27900	21600
357000	26000	6000
358000	24900	6300
359000	26800	5500
360000	26200	8500
361000	23600	6700
362000	28400	6300
363000	65500	11900
364000	70900	19300
365000	85600	35800
366000	48100	7700
367000	30200	6300
368000	28500	6600
369000	55300	6900
370000	60500	13600
371000	25000	14200
372000	25900	11500
373000	27500	7100
374000	26600	6400
375000	63600	9200
376000	27600	6600
377000	55700	31600
378000	67700	14800
379000	27000	6700
380000	50600	6400
381000	25500	8000
382000	23500	8300
383000	44400	16500
384000	24700	21300
385000	52000	16300
386000	29500	7100
387000	68600	6500
388000	58500	24000
389000	25700	7100
390000	27100	20900
391000	24600	6300
392000	27100	17600
393000	119000	6000
394000	36600	6000
395000	31700	6600
396000	30200	5800
397000	24500	6600
398000	67800	6600
399000	24700	8000
400000	29600	7100
401000	24300	5900
402000	21500	6600
403000	21900	6400
404000	20500	6600
405000	46200	7800
406000	32800	6900
407000	23100	6600
408000	24500	6200
409000	22400	7300
410000	23000	6100
411000	21900	6700
412000	23100	6300
413000	21600	6200
414000	22300	6700
415000	23600	6700
416000	25100	6600
417000	22000	10300
418000	39300	6600
419000	22000	5900
420000	25500	7500
421000	22300	7400
422000	28600	6400
423000	24400	6400
424000	42900	6300
425000	24100	13700
426000	21300	5800
427000	26500	24800
428000	25600	5900
429000	23200	8400
430000	20100	5500
431000	21700	6700
432000	24300	7000
433000	23400	6600
434000	26700	6600
435000	23900	6900
436000	25400	6500
437000	25200	6200
438000	27700	7800
439000	26200	7500
440000	36700	6500
441000	23600	6600
442000	80100	6100
443000	25100	6700
444000	26300	13700
445000	23300	7100
446000	23600	11200
447000	22900	13000
448000	26000	6100
449000	24200	7300
450000	32200	6300
451000	29300	6700
452000	28400	6400
453000	23800	11800
454000	24500	6700
455000	50200	6300
456000	24900	6400
457000	25700	7200
458000	25800	14300
459000	51100	7100
460000	69900	21300
461000	59700	6300
462000	27000	7300
463000	25600	24400
464000	23200	6600
465000	24200	9400
466000	25900	7000
467000	25800	6600
468000	27500	16600
469000	67200	7200
470000	52200	6200
471000	65700	45400
472000	23100	7400
473000	48100	6900
474000	28900	6700
475000	48700	17800
476000	43600	32300
477000	30200	7100
478000	27400	7000
479000	80900	6800
480000	31200	6100
481000	25100	6000
